Superintendência,Processo,Tipo de requerimento,Fase Atual,CPF/CNPJ do titular,Titular,Municipio(s),Substância(s),Tipo(s) de Uso,Situação,doc_limpo
Gerência Regional / MG,831459/1986,Requerimento de Autorização de Pesquisa,Concessão de Lavra,71.333.736/0001-20,GRANITOS SOLEDADE LTDA,MEDINA,GRANITO,Demais substâncias,Sim,71333736000120
Gerência Regional / MG,830809/1991,Requerimento de Autorização de Pesquisa,Concessão de Lavra,86.625.621/0001-86,MINERACAO MORRO REDONDO LTDA,CORONEL MURTA,"FELDSPATO, QUARTZO, TURMALINA","Demais substâncias, Demais substâncias, Demais substâncias",Sim,86625621000186
Gerência Regional / MG,825820/1972,Requerimento de Autorização de Pesquisa,Concessão de Lavra,***.528.406-**,ALEXANDRE VILLAS-BOAS SZUNDY                                                    ,PEDRA AZUL,GRAFITA,Demais substâncias,Sim,528406
Gerência Regional / MG,832854/2003,Requerimento de Autorização de Pesquisa,Concessão de Lavra,05.591.773/0001-03,ITINGA MINERACAO LTDA,ITINGA,GRANITO,Industrial,Sim,05591773000103
Gerência Regional / MG,832779/2010,Requerimento de Autorização de Pesquisa,Concessão de Lavra,05.591.773/0001-03,ITINGA MINERACAO LTDA,CORONEL MURTA,"GRANITO, MINÉRIO DE BERÍLIO","Industrial, Revestimento",Sim,05591773000103
Gerência Regional / MG,831629/2002,Requerimento de Autorização de Pesquisa,Concessão de Lavra,05.591.773/0001-03,ITINGA MINERACAO LTDA,ITINGA,"FELDSPATO, GRANITO","Construção civil, Industrial",Sim,05591773000103
Gerência Regional / MG,830308/2018,Requerimento de Disponibilidade para pesquisa,Concessão de Lavra,05.591.773/0001-03,ITINGA MINERACAO LTDA,SALINAS,"GRANITO, QUARTZITO","Revestimento, Revestimento",Sim,05591773000103
Gerência Regional / MG,831587/1999,Requerimento de Autorização de Pesquisa,Concessão de Lavra,05.284.593/0001-89,Mineração Granduvale Ltda,MEDINA,"CAULIM, GRANITO","Demais substâncias, Revestimento",Sim,05284593000189
Gerência Regional / MG,830663/2003,Requerimento de Autorização de Pesquisa,Concessão de Lavra,05.284.593/0001-89,Mineração Granduvale Ltda,SALINAS,GRANITO,Revestimento,Sim,05284593000189
Gerência Regional / MG,831415/2004,Requerimento de Autorização de Pesquisa,Concessão de Lavra,42.837.484/0001-78,BONTEMPI IMOVEIS LTDA,ARAÇUAÍ,GRANITO,Revestimento,Sim,42837484000178
Gerência Regional / MG,801873/1978,Requerimento de Autorização de Pesquisa,Concessão de Lavra,04.867.725/0001-32,K2 MINERACAO E EXPORTACAO LTDA,ITINGA,"AMBLIGONITA, BERILO, FELDSPATO, MINÉRIO DE ESTANHO, TÂNTALO","Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias",Sim,04867725000132
Gerência Regional / MG,801872/1978,Requerimento de Autorização de Pesquisa,Concessão de Lavra,04.867.725/0001-32,K2 MINERACAO E EXPORTACAO LTDA,ITINGA,"BERILO, ESTANHO, FELDSPATO, MICA, QUARTZO, TANTALITA","Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias",Sim,04867725000132
Gerência Regional / MG,832626/2003,Requerimento de Autorização de Pesquisa,Concessão de Lavra,04.867.725/0001-32,K2 MINERACAO E EXPORTACAO LTDA,ITINGA,GRANITO,Industrial,Sim,04867725000132
Gerência Regional / MG,832203/2017,Requerimento de Disponibilidade para pesquisa,Concessão de Lavra,04.867.725/0001-32,K2 MINERACAO E EXPORTACAO LTDA,ITINGA,"GRANITO, PEGMATITO, XISTO","Revestimento, Revestimento, Revestimento",Sim,04867725000132
Gerência Regional / MG,832169/1995,Requerimento de Autorização de Pesquisa,Concessão de Lavra,04.867.725/0001-32,K2 MINERACAO E EXPORTACAO LTDA,ITINGA,XISTO,Demais substâncias,Sim,04867725000132
Gerência Regional / MG,831977/2003,Requerimento de Autorização de Pesquisa,Concessão de Lavra,04.867.725/0001-32,K2 MINERACAO E EXPORTACAO LTDA,ITINGA,GRANITO,Industrial,Sim,04867725000132
Gerência Regional / MG,830720/2002,Requerimento de Autorização de Pesquisa,Concessão de Lavra,05.284.603/0001-86,Ouro Minas Granitos Ltda.,ITINGA,GRANITO,Revestimento,Sim,05284603000186
Gerência Regional / MG,803441/1974,Requerimento de Autorização de Pesquisa,Concessão de Lavra,05.106.351/0001-03,SUPER CLASSICO COMERCIO IMPORTACAO E EXPORTACAO LTDA,ITINGA,"AMBLIGONITA, BERILO, FELDSPATO, PETALITA","Demais substâncias, Demais substâncias, Demais substâncias, Demais substâncias",Sim,05106351000103
